street_number,actual_street_name,Suburb,Borough,County,london_region,region,year,tenure_type,leasehold_unexpired_term,value,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
15,WANDLE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,FREEHOLD,999,560,,45,12.44444444
150,BEDFORD HILL,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,75,730,10,70,10.42857143
27,ELMFIELD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,90,495,6.5,50,9.9
71,ELMFIELD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,89,495,8.5,48,10.3125
75,ENDLESHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,75,275,6.25,32,8.59375
2,GASCARTH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,92,350,7,40,8.75
5,LAITWOOD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,79,400,10,48,8.333333333
18,NIGHTINGALE SQUARE,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,94,380,7,38,10
22,NIGHTINGALE SQUARE,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,94,375,7,36,10.41666667
24,NIGHTINGALE SQUARE,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,94,380,7,36,10.55555556
30,ROSSITER ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,73,260,8,34,7.647058824
17,TUNLEY ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,96,375,6.5,38,9.868421053
27,TUNLEY ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,96,675,10,65,10.38461539
2,ZENNOR ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1900,LEASEHOLD,81,450,13,50,9
44,ALFNOPA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,36,375,4.5,39,9.615384615
308,BALHAM HIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,14,280,5,,
238,BALHAM HIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,81,1230,20,,
38,BALHAM HILL,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,FREEHOLD,999,1370,,,
41,BALHAM HILL,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,FREEHOLD,999,290,,,
18,BELLVENE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,,1300,,63,20.63492064
14,BRANFIELDS ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,82,350,6.5,38,9.210526316
58,CATHLES ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,83,260,6,33,7.878787879
2a,GASCARTH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,FREEHOLD,999,350,,50.4,6.944444444
33,BROSSITER ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,67,200,8,,
47,SURSLALD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,31,200,7.5,34,5.882352941
134,CASTAHAN,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,31,530,1,30,17.66666667
11,"MERITHYR TERRANCE, CASTENAN",BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,60,275,6,30,9.166666667
9,RANELAGH GARDANS,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,86,360,8,50,7.2
17,RANALAGH GARDENS,BALHAM,Wandswo,Greater London,INNER,Greater London,1908,LEASEHOLD,86,340,8,48,7.083333333
195,BEDFORD HILL,BALHAM,Wandswo,Greater London,INNER,Greater London,1909,LEASEHOLD,66,510,16.8,65,7.846153846
29,BYRNE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1909,LEASEHOLD,56,170,7.5,,
73,FERNLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1909,LEASEHOLD,64,230,6.3,34,6.764705882
78,FOXBOURNE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1909,LEASEHOLD,81,370,6.5,40,9.25
13,NEVIS ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1909,LEASEHOLD,88,340,7.5,36,9.444444444
14,ROSSITER ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1909,LEASEHOLD,56,220,7.5,33,6.666666667
241,BALHAM HIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1911,LEASEHOLD,78,910,20,100,9.1
9,BOUNDARIES ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1911,LEASEHOLD,56,200,5.5,28,7.142857143
47,DAGNAN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1911,LEASEHOLD,80,200,7,32,6.25
8,DORNTON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1911,LEASEHOLD,84,240,6.5,,
74,RITHERDON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1911,LEASEHOLD,79,440,9.75,,
72,THURLEIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1911,FREEHOLD,999,900,,,
58,"BALHAM HIGH ROAD, PICTURE PALACE",BALHAM,Wandswo,Greater London,INNER,Greater London,1912,LEASEHOLD,,100,,,
32,BROOMWOOD RAOD,BALHAM,Wandswo,Greater London,INNER,Greater London,1912,LEASEHOLD,67,240,7,36,6.666666667
35,CLOUDESDALE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1912,LEASEHOLD,78,290,6.5,36,8.055555556
124,FERNLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1912,LEASEHOLD,61,225,7.5,45,5
5,THURLEIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1912,FREEHOLD,999,800,,55,14.54545455
72,ALDERBROOK ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1913,LEASEHOLD,64,245,5.25,36.4,6.730769231
