street_number,actual_street_name,Suburb,lprice_diff,lrents_diff,lgroundrents_diff,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914
29,BALMES ROAD,DE BEAUVOIR TOWN,-0.794929875,-0.014598799,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
234,CAMBERWELL ROAD,CAMBERWELL,-2.014903021,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,FERRIER STREET,WANDSWORTH,-0.336472237,-0.080042708,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,HARLEY STREET,BOW,-1.553348446,0.197825743,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,SMITH STREET,CHELSEA,-0.170345366,0.576857594,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,WEBBER STREET,BLACKFRIARS,0.145953913,0.693147181,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,OLD ROAD,ROTHERHITHE,-0.385662481,1.441019261,-0.78845736,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,BAYFORD STREET,HACKNEY,-0.459532329,0.215708573,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,LANDSEER ROAD,HOLLOWAY,-0.567984038,-0.057158414,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,GROSVENOR PARK,CAMBERWELL,-0.051293294,,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,ESTCOURT ROAD,FULHAM,-0.287682072,0,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,,DRURY LANE,0.184364458,,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ROSEBANK ROAD,BOW,0.261013825,0,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,STAMFORD STREET,BLACKFRIARS,-0.135437971,,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ST. STEPHEN'S ROAD,BOW,0.163629424,0.087011377,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,MURIEL STREET,BARNSBURY,0.931558204,0.182321557,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,IFIELD ROAD,BROMPTON,-0.027779564,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,FAIRLOP ROAD,LEYTONSTONE,-0.056089467,0.028170877,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,RAMSDEN ROAD,BALHAM,0,,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,UFTON ROAD,DE BEAUVOIR TOWN,0.202940844,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
